Current Procedure Code,Previous Procedure Code,Declaration Type,Procedure Category,Procedure Category Description
01,00,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,00,IMD,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,00,IMY,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,21,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,21,IMD,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,21,IMY,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,51,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,53,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,54,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,71,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,78,IMA,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,78,IMY,H1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,00,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,21,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,00,IMF,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,21,IMF,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,51,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,53,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,71,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
01,78,IMC,I1,Release for free circulation with simultaneous onward dispatch to another Customs Union Territory
07,00,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,IMD,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,IMY,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,IMD,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,IMY,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,51,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,53,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,71,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,54,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,IMA,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,IMY,H1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,COA,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,COD,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,COY,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,51,COA,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,53,COA,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,71,COA,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,COA,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,COY,H5,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,IMF,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,00,COF,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,IMF,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,21,COF,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,51,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,51,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,53,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,53,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,71,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,71,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,IMC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
07,78,COC,I1,Release for Free Circulation with simultaneous Entry to an Excise Warehouse
40,00,IMA,H1,Release to free circulation 
40,00,IMD,H1,Release to free circulation 
40,00,IMY,H1,Release to free circulation 
40,00,IMZ,H1,Release to free circulation 
40,51,IMA,H1,Release to free circulation
40,51,IMZ,H1,Release to free circulation 
40,53,IMA,H1,Release to free circulation
40,53,IMZ,H1,Release to free circulation 
40,71,IMA,H1,Release to free circulation
40,71,IMZ,H1,Release to free circulation 
40,54,IMA,H1,Release to free circulation 
40,78,IMA,H1,Release to free circulation 
40,78,IMY,H1,Release to free circulation 
40,78,IMZ,H1,Release to free circulation 
40,00,COA,H5,Release to free circulation 
40,00,COD,H5,Release to free circulation 
40,00,COY,H5,Release to free circulation 
40,00,COZ,H5,Release to free circulation 
40,51,COA,H5,Release to free circulation 
